code,idx,date,close
002310.XSHE,7.0,2019-12-31,5.02
002310.XSHE,8.0,2020-01-23,5.13
002310.XSHE,9.0,2020-02-28,4.67
002310.XSHE,10.0,2020-03-31,5.31
002310.XSHE,11.0,2020-04-30,4.96
002311.XSHE,0.0,2019-05-31,31.48
002311.XSHE,1.0,2019-06-28,30.68
002311.XSHE,2.0,2019-07-31,30.08
002311.XSHE,3.0,2019-08-30,32.76
002311.XSHE,4.0,2019-09-30,31.07
002311.XSHE,5.0,2019-10-31,33.71
002311.XSHE,6.0,2019-11-29,30.48
002311.XSHE,7.0,2019-12-31,35.74
002311.XSHE,8.0,2020-01-23,33.8
002311.XSHE,9.0,2020-02-28,33.95
002311.XSHE,10.0,2020-03-31,39.91
002311.XSHE,11.0,2020-04-30,42.84
002312.XSHE,0.0,2019-05-31,3.69
002312.XSHE,1.0,2019-06-28,3.4
002312.XSHE,2.0,2019-07-31,3.42
002312.XSHE,3.0,2019-08-30,4.06
002312.XSHE,4.0,2019-09-30,3.99
002312.XSHE,5.0,2019-10-31,4.09
002312.XSHE,6.0,2019-11-29,4.17
002312.XSHE,7.0,2019-12-31,4.21
002312.XSHE,8.0,2020-01-23,4.68
002312.XSHE,9.0,2020-02-28,5.19
002312.XSHE,10.0,2020-03-31,4.48
002312.XSHE,11.0,2020-04-30,4.6
002313.XSHE,0.0,2019-05-31,19.62
002313.XSHE,1.0,2019-06-28,20.2
002313.XSHE,2.0,2019-07-31,18.01
002313.XSHE,3.0,2019-08-30,17.5
002313.XSHE,4.0,2019-09-30,19.64
002313.XSHE,5.0,2019-10-31,18.09
002313.XSHE,6.0,2019-11-29,18.92
002313.XSHE,7.0,2019-12-31,19.8
002313.XSHE,8.0,2020-01-23,18.96
002313.XSHE,9.0,2020-02-28,20.78
002313.XSHE,10.0,2020-03-31,17.53
002313.XSHE,11.0,2020-04-30,17.4
002314.XSHE,0.0,2019-05-31,3.07
002314.XSHE,1.0,2019-06-28,3.0
002314.XSHE,2.0,2019-07-31,2.98
002314.XSHE,3.0,2019-08-30,3.14
002314.XSHE,4.0,2019-09-30,3.14
002314.XSHE,5.0,2019-10-31,2.96
002314.XSHE,6.0,2019-11-29,2.93
002314.XSHE,7.0,2019-12-31,3.07
002314.XSHE,8.0,2020-01-23,2.87
002314.XSHE,9.0,2020-02-28,2.8
002314.XSHE,10.0,2020-03-31,2.64
002314.XSHE,11.0,2020-04-30,2.67
002315.XSHE,0.0,2019-05-31,12.25
002315.XSHE,1.0,2019-06-28,12.48
002315.XSHE,2.0,2019-07-31,12.32
002315.XSHE,3.0,2019-08-30,12.83
002315.XSHE,4.0,2019-09-30,13.47
002315.XSHE,5.0,2019-10-31,14.06
002315.XSHE,6.0,2019-11-29,13.37
002315.XSHE,7.0,2019-12-31,14.28
002315.XSHE,8.0,2020-01-23,17.03
002315.XSHE,9.0,2020-02-28,20.87
002315.XSHE,10.0,2020-03-31,14.91
002315.XSHE,11.0,2020-04-30,13.85
002316.XSHE,0.0,2019-05-31,8.37
002316.XSHE,1.0,2019-06-28,7.77
002316.XSHE,2.0,2019-07-31,7.25
002316.XSHE,3.0,2019-08-30,8.33
002316.XSHE,4.0,2019-09-30,10.54
002316.XSHE,5.0,2019-10-31,9.03
002316.XSHE,6.0,2019-11-29,7.75
002316.XSHE,7.0,2019-12-31,7.48
002316.XSHE,8.0,2020-01-23,8.38
002316.XSHE,9.0,2020-02-28,7.79
002316.XSHE,10.0,2020-03-31,6.96
002316.XSHE,11.0,2020-04-30,6.38
002317.XSHE,0.0,2019-05-31,8.22
002317.XSHE,1.0,2019-06-28,8.37
002317.XSHE,2.0,2019-07-31,8.52
002317.XSHE,3.0,2019-08-30,10.86
002317.XSHE,4.0,2019-09-30,10.05
002317.XSHE,5.0,2019-10-31,9.36
002317.XSHE,6.0,2019-11-29,9.69
002317.XSHE,7.0,2019-12-31,12.49
002317.XSHE,8.0,2020-01-23,14.1
002317.XSHE,9.0,2020-02-28,12.47
002317.XSHE,10.0,2020-03-31,11.65
002317.XSHE,11.0,2020-04-30,11.55
002318.XSHE,0.0,2019-05-31,6.85
002318.XSHE,1.0,2019-06-28,7.0
002318.XSHE,2.0,2019-07-31,7.1
002318.XSHE,3.0,2019-08-30,7.02
002318.XSHE,4.0,2019-09-30,7.33
002318.XSHE,5.0,2019-10-31,7.82
002318.XSHE,6.0,2019-11-29,8.25
002318.XSHE,7.0,2019-12-31,8.99
002318.XSHE,8.0,2020-01-23,8.6
002318.XSHE,9.0,2020-02-28,8.23
002318.XSHE,10.0,2020-03-31,7.1
002318.XSHE,11.0,2020-04-30,7.08
002319.XSHE,0.0,2019-05-31,12.6
002319.XSHE,1.0,2019-06-28,11.68
002319.XSHE,2.0,2019-07-31,11.44
002319.XSHE,3.0,2019-08-30,10.43
002319.XSHE,4.0,2019-09-30,9.51
002319.XSHE,5.0,2019-10-31,8.72
002319.XSHE,6.0,2019-11-29,7.6
002319.XSHE,7.0,2019-12-31,9.14
002319.XSHE,8.0,2020-01-23,8.16
002319.XSHE,9.0,2020-02-28,7.35
002319.XSHE,10.0,2020-03-31,6.61
002319.XSHE,11.0,2020-04-30,4.95
002320.XSHE,0.0,2019-05-31,5.83
002320.XSHE,1.0,2019-06-28,5.89
002320.XSHE,2.0,2019-07-31,5.75
002320.XSHE,3.0,2019-08-30,5.34
002320.XSHE,4.0,2019-09-30,5.27
002320.XSHE,5.0,2019-10-31,5.44
002320.XSHE,6.0,2019-11-29,6.14
002320.XSHE,7.0,2019-12-31,8.44
002320.XSHE,8.0,2020-01-23,9.52
002320.XSHE,9.0,2020-02-28,8.73
002320.XSHE,10.0,2020-03-31,11.46
002320.XSHE,11.0,2020-04-30,11.09
002321.XSHE,0.0,2019-05-31,7.04
002321.XSHE,1.0,2019-06-28,6.5
002321.XSHE,2.0,2019-07-31,6.28
002321.XSHE,3.0,2019-08-30,6.28
002321.XSHE,4.0,2019-09-30,5.78
002321.XSHE,5.0,2019-10-31,6.25
002321.XSHE,6.0,2019-11-29,5.24
002321.XSHE,7.0,2019-12-31,5.59
002321.XSHE,8.0,2020-01-23,5.18
002321.XSHE,9.0,2020-02-28,5.13
002321.XSHE,10.0,2020-03-31,5.62
002321.XSHE,11.0,2020-04-30,4.88
002322.XSHE,0.0,2019-05-31,11.9
002322.XSHE,1.0,2019-06-28,12.01
002322.XSHE,2.0,2019-07-31,12.26
002322.XSHE,3.0,2019-08-30,12.03
002322.XSHE,4.0,2019-09-30,12.75
002322.XSHE,5.0,2019-10-31,11.79
002322.XSHE,6.0,2019-11-29,10.87
002322.XSHE,7.0,2019-12-31,11.5
002322.XSHE,8.0,2020-01-23,11.17
002322.XSHE,9.0,2020-02-28,10.26
002322.XSHE,10.0,2020-03-31,11.14
002322.XSHE,11.0,2020-04-30,11.44
002323.XSHE,0.0,2018-02-28,6.09
002323.XSHE,1.0,2018-03-30,7.11
002323.XSHE,2.0,2018-04-27,6.1
002323.XSHE,3.0,2018-05-31,5.44
002323.XSHE,4.0,2018-06-29,5.08
002323.XSHE,5.0,2018-07-31,1.99
002323.XSHE,6.0,2018-08-16,1.31
002323.XSHE,7.0,2019-12-31,3.15
002323.XSHE,8.0,2020-01-23,2.74
002323.XSHE,9.0,2020-02-28,2.64
002323.XSHE,10.0,2020-03-31,2.41
002323.XSHE,11.0,2020-04-29,2.86
002324.XSHE,0.0,2019-05-31,6.48
002324.XSHE,1.0,2019-06-28,6.34
002324.XSHE,2.0,2019-07-31,6.2
002324.XSHE,3.0,2019-08-30,6.55
002324.XSHE,4.0,2019-09-30,7.57
002324.XSHE,5.0,2019-10-31,8.13
002324.XSHE,6.0,2019-11-29,7.93
002324.XSHE,7.0,2019-12-31,8.35
002324.XSHE,8.0,2020-01-23,9.17
002324.XSHE,9.0,2020-02-28,11.52
002324.XSHE,10.0,2020-03-31,11.37
002324.XSHE,11.0,2020-04-30,13.13
002325.XSHE,0.0,2019-05-31,3.18
002325.XSHE,1.0,2019-06-28,3.11
002325.XSHE,2.0,2019-07-31,3.05
002325.XSHE,3.0,2019-08-30,3.09
002325.XSHE,4.0,2019-09-30,3.07
002325.XSHE,5.0,2019-10-31,3.06
